account_age_days,follower_count,following_count,follower_following_ratio,post_count,has_profile_pic,bio_length,username_digit_ratio,avg_posts_per_day,is_fake
1200,5400,320,16.875,410,1,85,0.0,0.34,0
980,210,3100,0.068,3,0,0,0.4,0.003,1
2100,12000,890,13.48,1200,1,140,0.0,0.57,0
15,42,980,0.043,1,0,0,0.6,0.067,1
40,15,2500,0.006,0,0,0,0.5,0.0,1
1600,3200,1100,2.91,560,1,95,0.0,0.35,0
5,3,410,0.007,0,0,0,0.7,0.0,1
890,780,650,1.2,220,1,60,0.1,0.25,0
30,8,1900,0.004,2,0,0,0.55,0.067,1
2500,45000,1200,37.5,3400,1,180,0.0,1.36,0
60,22,3000,0.007,1,0,0,0.45,0.017,1
1100,980,540,1.81,340,1,75,0.05,0.31,0
20,5,1600,0.003,0,0,0,0.65,0.0,1
3000,89000,2100,42.38,5200,1,200,0.0,1.73,0
75,30,2200,0.014,3,0,0,0.5,0.04,1
1400,2100,780,2.69,410,1,88,0.0,0.29,0
10,2,890,0.002,0,0,0,0.6,0.0,1
2200,15000,1400,10.71,1600,1,150,0.0,0.73,0
50,12,2700,0.004,1,0,0,0.48,0.02,1
1750,6700,940,7.13,780,1,110,0.0,0.45,0
